sepal_length,sepal_width,petal_length,petal_width,class
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
0.0,1.0,2.0,3.0,Iris-setosa
